,count,mean,std,min,25%,50%,75%,max
NO2Value,879.0,19.934675668247337,9.461500812722186,4.986111111111111,12.782291666666666,18.258899676375403,24.888831496786047,58.49810606060606
NO2ValueOrigin,879.0,19.93408932170837,9.46136171476869,4.985138888888889,12.783925505050505,18.261242718446603,24.886387189199688,58.49804924242424
NOValue,561.0,10.811768919460988,10.751121221642695,0.7881944444444444,4.185763888888889,7.055555555555555,12.68402777777778,76.21006944444444
NOValueOrigin,561.0,10.813874237422908,10.748533951257166,0.7881944444444444,4.1837326388888885,7.068402777777778,12.687725694444444,76.21671875
NOXValue,561.0,34.55392932191057,18.970720351026557,6.144578313253012,22.22222222222222,28.43576388888889,40.41493055555556,123.9330985915493
NOXValueOrigin,561.0,34.552729439743125,18.970171937760067,6.144578313253012,22.226493055555554,28.43876736111111,40.41732638888889,123.93508802816902
O3Value,879.0,53.02614016792214,17.812164018809867,6.011904761904762,40.74341572893056,54.68287037037037,66.18787303200413,104.07523148148148
O3ValueOrigin,879.0,53.02614016792214,17.812164018809867,6.011904761904762,40.74341572893056,54.68287037037037,66.18787303200413,104.07523148148148
PM10Value,879.0,23.096142066186932,9.464479178269338,4.729166666666667,16.782069830246915,21.58796296296296,27.88354360336432,81.22376543209876
PM10ValueOrigin,879.0,23.04870805661769,9.46230244628863,4.689583333333333,16.749590084876544,21.5179012345679,27.83462136023806,81.17962962962963
PM1Value,558.0,7.574589005771199,5.719317594643709,0.7361111111111112,3.4696180555555554,6.239583333333334,9.806653911564625,34.72569444444444
PM1ValueOrigin,558.0,7.525153272323971,5.720729681896433,0.6340277777777779,3.434895833333333,6.169965277777778,9.75732886904762,34.67743055555556
PM25Value,879.0,11.49972346785262,7.109461428346583,1.3272569444444444,6.784588675213675,10.29253472222222,14.357670497390885,75.62191358024691
PM25ValueOrigin,879.0,11.457499025082347,7.109172369446533,1.2498263888888888,6.745493699009324,10.262395833333334,14.311036590992986,75.57800925925925
SO2Value,879.0,2.854532676064249,0.7087783808009479,1.1527777777777777,2.341074592679027,2.8136574074074074,3.314236111111111,7.953741496598639
SO2ValueOrigin,879.0,2.833586578580334,0.7038825809606714,1.192627314814815,2.334505343068184,2.7885185185185186,3.2781006944444444,7.894585034013605
